ad_id,copy,conversion_rate,framing,value_focus,technical_level,mentions_number
1,Run every campaign on budget. Includes real-time pacing alerts via the Google Ads API. Dozens of integrations built in. Learn more.,0.0674,solution,feature,technical,no
2,Your ad budget is hard to control. Includes API bid scripts and CPA pacing rules. Trusted by growing teams. Start your free trial.,0.0454,problem,feature,technical,no
3,"Tired of wasted ad spend? Your team hits CPA and ROAS targets with less effort. Trusted by 2,400 teams. Book a demo today.",0.0803,problem,benefit,technical,yes
4,"Take control of your ad budget. Your team saves hours and sleeps better. Trusted by 2,400 teams. Start your free trial.",0.0986,solution,benefit,plain,yes
5,Most B2B campaigns overspend quietly. Includes API bid scripts and CPA pacing rules. Setup takes 5 minutes. Learn more.,0.0625,problem,feature,technical,yes
6,"Most B2B campaigns overspend quietly. Includes simple alerts and one shared dashboard. Trusted by 2,400 teams. Book a demo today.",0.066,problem,feature,plain,yes
7,"Take control of your ad budget. Your team saves hours and sleeps better. Trusted by 2,400 teams. Book a demo today.",0.1176,solution,benefit,plain,yes
8,Your ad budget is hard to control. Your team hits CPA and ROAS targets with less effort. Dozens of integrations built in. Start your free trial.,0.0273,problem,benefit,technical,no
9,Your ad budget is hard to control. Includes API bid scripts and CPA pacing rules. Setup takes mere minutes. Learn more.,0.0193,problem,feature,technical,no
10,Run every campaign on budget. Includes real-time pacing alerts via the Google Ads API. Over 90 integrations built in. Book a demo today.,0.108,solution,feature,technical,yes
11,Fix overspending on every campaign. Your team sees steadier CPA and higher ROAS. Setup takes mere minutes. Learn more.,0.0617,solution,benefit,technical,no
12,Run every campaign on budget. Your team saves hours and sleeps better. Setup takes mere minutes. Start your free trial.,0.0862,solution,benefit,plain,no
13,Take control of your ad budget. Includes simple alerts and one shared dashboard. Trusted by growing teams. Book a demo today.,0.0673,solution,feature,plain,no
14,Most B2B campaigns overspend quietly. Includes a weekly report and a budget calendar. Setup takes mere minutes. Book a demo today.,0.0351,problem,feature,plain,no
15,Most B2B campaigns overspend quietly. Your team saves hours and sleeps better. Setup takes 5 minutes. Learn more.,0.0521,problem,benefit,plain,yes
16,Take control of your ad budget. Includes real-time pacing alerts via the Google Ads API. Rated highly by marketers. Book a demo today.,0.0679,solution,feature,technical,no
17,Run every campaign on budget. Your team feels confident and stays focused. Trusted by growing teams. Learn more.,0.0642,solution,benefit,plain,no
18,Tired of wasted ad spend? Includes real-time pacing alerts via the Google Ads API. Dozens of integrations built in. Start your free trial.,0.0265,problem,feature,technical,no
19,Most B2B campaigns overspend quietly. Your team sees steadier CPA and higher ROAS. Over 90 integrations built in. Start your free trial.,0.0474,problem,benefit,technical,yes
20,Your ad budget is hard to control. Includes real-time pacing alerts via the Google Ads API. Over 90 integrations built in. Learn more.,0.0512,problem,feature,technical,yes
21,Take control of your ad budget. Includes API bid scripts and CPA pacing rules. Over 90 integrations built in. Learn more.,0.1035,solution,feature,technical,yes
22,Fix overspending on every campaign. Your team hits CPA and ROAS targets with less effort. Setup takes mere minutes. Start your free trial.,0.0658,solution,benefit,technical,no
23,"Tired of wasted ad spend? Includes a weekly report and a budget calendar. Trusted by 2,400 teams. Start your free trial.",0.0694,problem,feature,plain,yes
24,Your ad budget is hard to control. Your team sees steadier CPA and higher ROAS. Trusted by growing teams. Start your free trial.,0.0334,problem,benefit,technical,no
25,Most B2B campaigns overspend quietly. Your team saves hours and sleeps better. Rated highly by marketers. Start your free trial.,0.0371,problem,benefit,plain,no
26,"Take control of your ad budget. Your team hits CPA and ROAS targets with less effort. Trusted by 2,400 teams. Book a demo today.",0.1135,solution,benefit,technical,yes
27,Take control of your ad budget. Your team feels confident and stays focused. Setup takes mere minutes. Learn more.,0.071,solution,benefit,plain,no
28,Fix overspending on every campaign. Your team feels confident and stays focused. Setup takes 5 minutes. Book a demo today.,0.111,solution,benefit,plain,yes
29,Tired of wasted ad spend? Your team sees steadier CPA and higher ROAS. Setup takes mere minutes. Learn more.,0.0443,problem,benefit,technical,no
30,Fix overspending on every campaign. Your team feels confident and stays focused. Rated highly by marketers. Start your free trial.,0.0749,solution,benefit,plain,no
